Year,Load,Flow Normalized,Flow Normalized - Lower 95,Flow Normalized - Upper 95
1980,879000,1020000,964000,1070000
1981,699000,1050000,997000,1100000
1982,1140000,1080000,1020000,1130000
1983,1530000,1080000,1020000,1150000
1984,1330000,1070000,1010000,1140000
1985,984000,1040000,968000,1090000
1986,1100000,1000000,930000,1060000
1987,998000,979000,898000,1050000
1988,623000,965000,882000,1040000
1989,711000,950000,865000,1030000
1990,1120000,940000,864000,1020000
1991,1240000,936000,863000,1000000
1992,1000000,936000,872000,998000
1993,1800000,946000,890000,1000000
1994,1010000,968000,923000,1020000
1995,944000,987000,930000,1040000
1996,912000,993000,931000,1050000
1997,1150000,987000,916000,1040000
1998,1150000,976000,903000,1020000
1999,1220000,966000,892000,1010000
2000,594000,965000,895000,1020000
2001,975000,968000,899000,1030000
2002,888000,977000,910000,1040000
2003,732000,974000,912000,1040000
2004,940000,962000,908000,1020000
2005,947000,953000,903000,1000000
2006,665000,959000,900000,1010000
2007,975000,970000,914000,1010000
2008,1340000,983000,929000,1030000
2009,1070000,985000,929000,1030000
2010,1230000,974000,914000,1020000
2011,1200000,962000,904000,1010000
2012,630000,962000,913000,1020000
2013,1000000,966000,915000,1010000
2014,807000,969000,917000,1020000
2015,1020000,971000,913000,1030000
2016,1210000,978000,911000,1050000
2017,1240000,982000,898000,1060000
2018,987000,992000,891000,1090000